Date,IR64_I,IR64_II,IR64_III
2023-01-01,11175,10400,9800
2023-01-02,11175,10400,9800
2023-01-03,11175,10425,9825
2023-01-04,11200,10425,9850
2023-01-05,11225,10450,9875
2023-01-06,11250,10475,9900
2023-01-07,11250,10475,9900
2023-01-08,11250,10475,9900
2023-01-09,11275,10500,9925
2023-01-10,11300,10525,9950
2023-01-11,11325,10525,9975
2023-01-12,11350,10550,10000
2023-01-13,11375,10575,10225
2023-01-14,11375,10575,10025
2023-01-15,11375,10575,10050
2023-01-16,11400,10600,10125
2023-01-17,11425,10625,10200
2023-01-18,11450,10650,10250
2023-01-19,11475,10700,10300
2023-01-20,11500,10725,10325
2023-01-21,11500,10725,10325
2023-01-22,11500,10725,10325
2023-01-23,11500,10725,10325
2023-01-24,11550,10775,10375
2023-01-25,11550,10775,10375
2023-01-26,11550,10800,10475
2023-01-27,11575,10800,10350
2023-01-28,11575,10800,10350
2023-01-29,11575,10800,10350
2023-01-30,11600,10825,10325
2023-01-31,11650,10825,10275